SNO,Protein A,Protein B,Co-Expression,Experimentally Determined Interaction,Automated Textmining,Combined Score,Disease Associated,BioGRID Interaction ID,Entrez Gene Interactor A,Entrez Gene Interactor B,BioGRID ID Interactor A,BioGRID ID Interactor B,Experimental System,Pubmed ID,Author
2698,MRPS15,MRPS35,0.445,0.995,0.282,0.999,Friedreich ataxia,2248608,64960,60488,122358,121919,Affinity Capture-MS,28514442,Huttlin EL (2017)
2699,MRPL13,MRPL44,0.444,0.997,0.478,0.999,Friedreich ataxia,746072,28998,65080,118817,122389,Co-fractionation,22939629,Havugimana PC (2012)
2700,PSMA1,PSMC3,0.443,0.997,0.821,0.999,Multiple Sclerosis,2574923,5682,5702,111655,111675,Affinity Capture-Western,30254168,Lee D (2018)
2701,SNRPC,SNRPG,0.443,0.994,0.751,0.999,Multiple Sclerosis,3194755,6631,6637,112515,112521,Affinity Capture-MS,33961781,Huttlin EL (2021)
2702,EIF4A3,ALYREF,0.427,0.995,0.965,0.999,Multiple Sclerosis,811284,9775,10189,115119,115486,Affinity Capture-MS,23084401,Singh G (2012)
2703,DAP3,MRPS2,0.425,0.994,0.405,0.999,Friedreich ataxia,1264888,7818,51116,113587,119304,Co-fractionation,26344197,Wan C (2015)
2704,HSPA4,HSPA8,0.418,0.881,0.983,0.999,Parkinson's,722393,3308,3312,109540,109544,Co-fractionation,18408180,Hidalgo-de-Quintana J (2008)
2705,CXCL1,CXCL5,0.416,0.994,0.736,0.999,Amyotrophic Lateral Sclerosis (ALS),2862096,2919,6374,109176,112276,Reconstituted Complex,28381538,von Hundelshausen P (2017)
2706,NDUFC2,NDUFV1,0.41,0.941,0.73,0.999,Alzheimers,3054092,4718,4723,110798,110802,Affinity Capture-MS,33961781,Huttlin EL (2021)
2707,NDUFA11,NDUFV3,0.402,0.998,0.476,0.999,Alzheimers,1442338,126328,4731,125981,110809,Affinity Capture-MS,24344204,Guarani V (2014)
2708,TLR1,TLR2,0.401,0.952,0.986,0.999,Amyotrophic Lateral Sclerosis (ALS),281145,7096,7097,112951,112952,Affinity Capture-Western,12077222,Takeuchi O (2002)
2709,NDUFA7,NDUFV3,0.401,0.938,0.808,0.999,Alzheimers,3102459,4701,4731,110781,110809,Affinity Capture-MS,33961781,Huttlin EL (2021)
2710,NDUFC2,NDUFB1,0.397,0.976,0.568,0.999,Alzheimers,3097848,4718,4707,110798,110787,Affinity Capture-MS,33961781,Huttlin EL (2021)
2711,NDUFA1,NDUFS4,0.397,0.921,0.874,0.999,Alzheimers,3066192,4694,4724,110774,110803,Affinity Capture-MS,33961781,Huttlin EL (2021)
2712,NDUFA7,NDUFS2,0.383,0.966,0.528,0.999,Alzheimers,3124313,4701,4720,110781,110800,Affinity Capture-MS,33961781,Huttlin EL (2021)
2713,DAP3,MRPS10,0.381,0.997,0.625,0.999,Friedreich ataxia,1193380,7818,55173,113587,120472,Affinity Capture-MS,26186194,Huttlin EL (2015)
2714,NDUFA10,NDUFV2,0.381,0.977,0.717,0.999,Friedreich ataxia,744164,4705,4729,110785,110807,Co-fractionation,22939629,Havugimana PC (2012)
2715,NDUFA7,NDUFV2,0.373,0.941,0.83,0.999,Alzheimers,3140984,4701,4729,110781,110807,Affinity Capture-MS,33961781,Huttlin EL (2021)
2716,DAP3,MRPS9,0.371,0.997,0.455,0.999,Friedreich ataxia,1264929,7818,64965,113587,122360,Co-fractionation,26344197,Wan C (2015)
2717,CXCL9,CCL5,0.371,0.994,0.948,0.999,Amyotrophic Lateral Sclerosis (ALS),2862208,4283,6352,110429,112255,Reconstituted Complex,28381538,von Hundelshausen P (2017)
2718,MRPS35,MRPS9,0.364,0.997,0.252,0.999,Friedreich ataxia,1264932,60488,64965,121919,122360,Co-fractionation,26344197,Wan C (2015)
2719,CXCL10,CCL5,0.362,0.994,0.95,0.999,Amyotrophic Lateral Sclerosis (ALS),2862103,3627,6352,109839,112255,Reconstituted Complex,28381538,von Hundelshausen P (2017)
2720,EIF4A3,SRSF1,0.358,0.994,0.515,0.999,Multiple Sclerosis,745574,9775,6426,115119,112324,Co-fractionation,22939629,Havugimana PC (2012)
2721,CXCL11,CCL5,0.355,0.994,0.885,0.999,Amyotrophic Lateral Sclerosis (ALS),2862114,6373,6352,112275,112255,Reconstituted Complex,28381538,von Hundelshausen P (2017)
2722,SNRPD3,SNRNP200,0.344,0.995,0.387,0.999,Multiple Sclerosis,743768,6634,23020,112518,116661,Co-fractionation,22939629,Havugimana PC (2012)
2723,DCTN1,DCTN2,0.34,0.999,0.999,0.999,Multiple Sclerosis,743419,1639,10540,108007,115794,Co-fractionation,22939629,Havugimana PC (2012)
2724,NDUFB11,NDUFS2,0.319,0.985,0.667,0.999,Alzheimers,2263610,54539,4720,120026,110800,Affinity Capture-MS,28514442,Huttlin EL (2017)
2725,NDUFV2,NDUFA3,0.318,0.943,0.441,0.999,Alzheimers,3070261,4729,4696,110807,110776,Affinity Capture-MS,33961781,Huttlin EL (2021)
2726,NDUFB11,NDUFV3,0.316,0.958,0.571,0.999,Alzheimers,2219121,54539,4731,120026,110809,Affinity Capture-MS,28514442,Huttlin EL (2017)
2727,DLD,OGDH,0.31,0.88,0.994,0.999,Friedreich ataxia,1187156,1738,4967,108082,111017,Affinity Capture-MS,26186194,Huttlin EL (2015)
2728,CCR7,CCL19,0.308,0.287,0.999,0.999,Amyotrophic Lateral Sclerosis (ALS),287946,1236,6363,107641,112266,Reconstituted Complex,9153236,Yoshida R (1997)
2729,NDUFA11,NDUFV2,0.303,0.998,0.849,0.999,Alzheimers,1442340,126328,4729,125981,110807,Affinity Capture-MS,24344204,Guarani V (2014)
2730,DAP3,MRPS15,0.294,0.995,0.354,0.999,Friedreich ataxia,3155009,7818,64960,113587,122358,Affinity Capture-MS,33961781,Huttlin EL (2021)
2731,DNAJB1,HSPA4,0.29,0.845,0.999,0.999,Friedreich ataxia,2937117,3337,3308,109569,109540,Affinity Capture-MS,33957083,Piette BL (2021)
2732,MRPL4,MRPL47,0.287,0.996,0.622,0.999,Friedreich ataxia,1183949,51073,57129,119264,121392,Affinity Capture-MS,26186194,Huttlin EL (2015)
2733,CAPRIN1,G3BP1,0.285,0.987,0.994,0.999,Multiple Sclerosis,426437,4076,10146,110252,115448,Affinity Capture-Western,17210633,Solomon S (2007)
2734,NDUFS3,NDUFA3,0.268,0.974,0.676,0.999,Alzheimers,1178966,4722,4696,110801,110776,Affinity Capture-MS,26186194,Huttlin EL (2015)
2735,IL2RB,IL2RG,0.266,0.96,0.998,0.999,Amyotrophic Lateral Sclerosis (ALS),2536355,3560,3561,109775,109776,FRET,20816854,Pillet AH (2010)
2736,CASP1,IL1B,0.265,0.787,0.987,0.999,Amyotrophic Lateral Sclerosis (ALS),796784,834,3553,107284,109769,Biochemical Activity,7642516,Gu Y (1995)
2737,NDUFA11,NDUFS2,0.262,0.998,0.869,0.999,Alzheimers,1442346,126328,4720,125981,110800,Affinity Capture-MS,24344204,Guarani V (2014)
2738,CD86,CD80,0.262,0.393,0.989,0.999,Amyotrophic Lateral Sclerosis (ALS),1504621,942,941,107380,107379,Co-localization,25241761,Chen TC (2014)
2739,DAP3,MRPS35,0.261,0.997,0.164,0.999,Friedreich ataxia,1193379,7818,60488,113587,121919,Affinity Capture-MS,26186194,Huttlin EL (2015)
2740,NDUFA1,NDUFV2,0.258,0.941,0.857,0.999,Alzheimers,3066190,4694,4729,110774,110807,Affinity Capture-MS,33961781,Huttlin EL (2021)
2741,NDUFA1,NDUFV3,0.258,0.922,0.7,0.999,Alzheimers,3088231,4694,4731,110774,110809,Affinity Capture-MS,33961781,Huttlin EL (2021)
2742,SRSF2,U2AF1,0.257,0.726,0.997,0.999,Multiple Sclerosis,279066,6427,7307,112325,113157,Two-hybrid,8816452,Zhang WJ (1996)
2743,CXCL9,CCL11,0.256,0.994,0.868,0.999,Amyotrophic Lateral Sclerosis (ALS),2862203,4283,6356,110429,112259,Reconstituted Complex,28381538,von Hundelshausen P (2017)
2744,CD4,CCR5,0.254,0.957,0.999,0.999,Amyotrophic Lateral Sclerosis (ALS),288018,920,1234,107358,107639,Affinity Capture-Western,10816381,Xiao X (2000)
2745,CCL5,CCR5,0.253,0.982,0.999,0.999,Amyotrophic Lateral Sclerosis (ALS),252898,6352,1234,112255,107639,Affinity Capture-Western,14637022,Slimani H (2003)
2746,PMPCA,PMPCB,0.25,0.978,0.946,0.999,Friedreich ataxia,1266826,23203,9512,116811,114889,Co-fractionation,26344197,Wan C (2015)
2747,CCL3,CCR5,0.248,0.51,0.999,0.999,Amyotrophic Lateral Sclerosis (ALS),277123,6348,1234,112252,107639,Reconstituted Complex,11700073,Navenot JM (2001)
2748,DAP3,MRPS11,0.244,0.995,0.305,0.999,Friedreich ataxia,1455679,7818,64963,113587,122359,Affinity Capture-MS,26496610,Hein MY (2015)
2749,NDUFV1,NDUFB4,0.243,0.998,0.546,0.999,Alzheimers,1442432,4723,4710,110802,110790,Affinity Capture-MS,24344204,Guarani V (2014)
2750,BOLA3,BOLA1,0.243,0.994,0.992,0.999,Friedreich ataxia,1259372,388962,51027,132922,119233,Co-fractionation,26344197,Wan C (2015)
2751,PSMD4,RPS27A,0.242,0.997,0.336,0.999,Multiple Sclerosis,3364903,5710,6233,111683,112147,Affinity Capture-MS,35271311,Cho NH (2022)
2752,NFKB1,NFKBIA,0.242,0.997,0.986,0.999,Amyotrophic Lateral Sclerosis (ALS),301331,4790,4792,110857,110859,Reconstituted Complex,9738011,Malek S (1998)
2753,JAK2,STAT1,0.242,0.838,0.996,0.999,Amyotrophic Lateral Sclerosis (ALS),543754,3717,6772,109920,112649,Affinity Capture-Western,20353823,Cheng MB (2010)
2754,DCTN1,DYNC1H1,0.24,0.998,0.892,0.999,Multiple Sclerosis,253220,1639,1778,108007,108117,Affinity Capture-Western,14600259,Payne C (2003)
2755,NDUFV3,NDUFB8,0.24,0.94,0.561,0.999,Alzheimers,3121265,4731,4714,110809,110794,Affinity Capture-MS,33961781,Huttlin EL (2021)
2756,NDUFA1,NDUFS3,0.24,0.939,0.774,0.999,Alzheimers,3179694,4694,4722,110774,110801,Affinity Capture-MS,33961781,Huttlin EL (2021)
2757,CCL2,CXCL9,0.237,0.994,0.901,0.999,Amyotrophic Lateral Sclerosis (ALS),2862012,6347,4283,112251,110429,Reconstituted Complex,28381538,von Hundelshausen P (2017)
2758,NDUFAB1,NDUFS1,0.235,0.991,0.764,0.999,Friedreich ataxia,3430429,4706,4719,110786,110799,Co-fractionation,35831314,Havugimana PC (2022)
2759,NDUFA7,NDUFB2,0.23,0.905,0.856,0.999,Alzheimers,3114529,4701,4708,110781,110788,Affinity Capture-MS,33961781,Huttlin EL (2021)
2760,IFNAR1,IFNAR2,0.226,0.919,0.999,0.999,Amyotrophic Lateral Sclerosis (ALS),1505114,3454,3455,109676,109677,Co-localization,26008745,Wilmes S (2015)
2761,IL2RG,JAK3,0.226,0.625,0.998,0.999,Amyotrophic Lateral Sclerosis (ALS),2397308,3561,3718,109776,109921,Affinity Capture-Western,27742835,Warren KJ (2016)
2762,NDUFAF3,NDUFAF4,0.221,0.994,0.976,0.999,Alzheimers,1046774,25915,29078,117419,118848,Two-hybrid,25416956,Rolland T (2014)
2763,SNRPG,SNRNP200,0.221,0.993,0.12,0.999,Multiple Sclerosis,2241122,6637,23020,112521,116661,Affinity Capture-MS,28514442,Huttlin EL (2017)
2764,NDUFV3,NDUFB6,0.219,0.946,0.552,0.999,Alzheimers,3121267,4731,4712,110809,110792,Affinity Capture-MS,33961781,Huttlin EL (2021)
2765,SNRNP70,SNRPC,0.217,0.996,0.998,0.999,Multiple Sclerosis,304956,6625,6631,112509,112515,Affinity Capture-Western,9826776,Dumortier H (1998)
2766,CD274,CD80,0.215,0.982,0.989,0.999,Amyotrophic Lateral Sclerosis (ALS),858355,29126,941,118891,107379,Reconstituted Complex,21982860,Ramani SR (2012)
2767,CCL11,CXCL10,0.212,0.994,0.877,0.999,Amyotrophic Lateral Sclerosis (ALS),2861982,6356,3627,112259,109839,Reconstituted Complex,28381538,von Hundelshausen P (2017)
2768,FUS,TARDBP,0.207,0.73,0.999,0.999,Multiple Sclerosis,560177,2521,23435,108797,117003,Reconstituted Complex,20720006,Kim SH (2010)
2769,TBK1,TRAF6,0.194,0.994,0.956,0.999,Multiple Sclerosis,2623286,29110,7189,118878,113041,Affinity Capture-Western,30530224,Lin S (2019)
2770,STAT1,STAT3,0.192,0.874,0.982,0.999,Amyotrophic Lateral Sclerosis (ALS),277449,6772,6774,112649,112651,Affinity Capture-Western,11722592,Spiekermann K (2001)
2771,TNF,TNFRSF1B,0.191,0.999,0.998,0.999,Amyotrophic Lateral Sclerosis (ALS),505678,7124,7133,112979,112987,Affinity Capture-MS,15485837,Kuai J (2004)
2772,JAK1,STAT3,0.184,0.839,0.999,0.999,Amyotrophic Lateral Sclerosis (ALS),243697,3716,6774,109919,112651,Reconstituted Complex,11751884,Ueda T (2002)
2773,MYD88,TLR2,0.184,0.746,0.99,0.999,Amyotrophic Lateral Sclerosis (ALS),251755,4615,7097,110700,112952,Two-hybrid,15107846,Chuang TH (2004)
2774,CCL20,CXCL5,0.182,0.994,0.728,0.999,Amyotrophic Lateral Sclerosis (ALS),2862019,6364,6374,112267,112276,Reconstituted Complex,28381538,von Hundelshausen P (2017)
2775,SNX1,VPS35,0.182,0.935,0.999,0.999,Parkinson's,1274425,6642,55737,112525,120855,Co-fractionation,26344197,Wan C (2015)
2776,PSMD4,UBQLN4,0.178,0.997,0.858,0.999,Multiple Sclerosis,478666,5710,56893,111683,121223,Reconstituted Complex,15280365,Riley BE (2004)
2777,HSPA9,TIMM44,0.178,0.946,0.996,0.999,Friedreich ataxia,1273274,3313,10469,109545,115732,Co-fractionation,26344197,Wan C (2015)
2778,DYNC1H1,DYNC1LI2,0.173,0.986,0.981,0.999,Multiple Sclerosis,1444220,1778,1783,108117,108120,Affinity Capture-MS,26496610,Hein MY (2015)
2779,NDUFB11,NDUFB1,0.173,0.969,0.895,0.999,Alzheimers,2248366,54539,4707,120026,110787,Affinity Capture-MS,28514442,Huttlin EL (2017)
2780,NDUFV3,NDUFB4,0.173,0.943,0.599,0.999,Alzheimers,3121269,4731,4710,110809,110790,Affinity Capture-MS,33961781,Huttlin EL (2021)
2781,BIRC2,RIPK1,0.17,0.893,0.996,0.999,Multiple Sclerosis,328082,329,8737,106826,114274,Biochemical Activity,18570872,Bertrand MJ (2008)
2782,NDUFS4,NDUFV3,0.169,0.999,0.864,0.999,Alzheimers,1442200,4724,4731,110803,110809,Affinity Capture-MS,24344204,Guarani V (2014)
2783,NDUFV1,NDUFV3,0.169,0.999,0.984,0.999,Alzheimers,1442424,4723,4731,110802,110809,Affinity Capture-MS,24344204,Guarani V (2014)
2784,LYRM4,NFS1,0.169,0.996,0.999,0.999,Friedreich ataxia,1265492,57128,9054,121391,114516,Co-fractionation,26344197,Wan C (2015)
2785,NDUFA1,NDUFV1,0.169,0.941,0.818,0.999,Alzheimers,3029259,4694,4723,110774,110802,Affinity Capture-MS,33961781,Huttlin EL (2021)
2786,CCL3L1,CCR5,0.169,0.51,0.997,0.999,Amyotrophic Lateral Sclerosis (ALS),283348,6349,1234,112253,107639,Reconstituted Complex,11734558,Miyakawa T (2002)
2787,NPLOC4,VCP,0.168,0.999,0.999,0.999,Multiple Sclerosis,328015,55666,7415,120798,113258,Affinity Capture-Western,18586029,Lass A (2008)
2788,NDUFV2,NDUFV3,0.165,0.999,0.973,0.999,Alzheimers,744085,4729,4731,110807,110809,Co-fractionation,22939629,Havugimana PC (2012)
2789,TANK,TBK1,0.162,0.994,0.997,0.999,Multiple Sclerosis,316399,10010,29110,115328,118878,Two-hybrid,10581243,Pomerantz JL (1999)
2790,NDUFS3,NDUFV3,0.161,0.998,0.449,0.999,Alzheimers,1178957,4722,4731,110801,110809,Affinity Capture-MS,26186194,Huttlin EL (2015)
2791,CXCL9,CXCL12,0.16,0.994,0.955,0.999,Amyotrophic Lateral Sclerosis (ALS),2862211,4283,6387,110429,112288,Reconstituted Complex,28381538,von Hundelshausen P (2017)
2792,MYD88,TLR4,0.158,0.974,0.992,0.999,Amyotrophic Lateral Sclerosis (ALS),251756,4615,7099,110700,112954,Two-hybrid,15107846,Chuang TH (2004)
2793,CCL2,CCL5,0.156,0.994,0.882,0.999,Amyotrophic Lateral Sclerosis (ALS),2862007,6347,6352,112251,112255,Reconstituted Complex,28381538,von Hundelshausen P (2017)
2794,NDUFAF3,NDUFS2,0.151,0.994,0.826,0.999,Alzheimers,1442446,25915,4720,117419,110800,Affinity Capture-MS,24344204,Guarani V (2014)
2795,IFNGR1,JAK1,0.151,0.634,0.997,0.999,Amyotrophic Lateral Sclerosis (ALS),303384,3459,3716,109681,109919,Reconstituted Complex,12133952,Usacheva A (2002)
2796,IL4R,STAT6,0.15,0.757,0.967,0.999,Amyotrophic Lateral Sclerosis (ALS),799433,3566,6778,109780,112655,Reconstituted Complex,9651359,Mikita T (1998)
2797,LSM4,SNRNP200,0.148,0.992,0.408,0.999,Multiple Sclerosis,2814788,25804,23020,117336,116661,Proximity Label-MS,29395067,Youn JY (2018)
2798,NDUFV3,NDUFS2,0.148,0.94,0.537,0.999,Alzheimers,3143256,4731,4720,110809,110800,Affinity Capture-MS,33961781,Huttlin EL (2021)
2799,SNX1,SNX5,0.148,0.907,0.991,0.999,Parkinson's,1272459,6642,27131,112525,118022,Co-fractionation,26344197,Wan C (2015)
2800,IKBKG,TRAF2,0.147,0.796,0.958,0.999,Multiple Sclerosis,722560,8517,7186,114089,113038,Co-fractionation,10980203,Poyet JL (2000)
2801,AZI2,TBK1,0.146,0.999,0.955,0.999,Multiple Sclerosis,594107,64343,29110,122142,118878,Affinity Capture-MS,21903422,Li S (2011)
2802,NDUFAF1,NDUFS3,0.146,0.994,0.573,0.999,Alzheimers,1442409,51103,4722,119292,110801,Affinity Capture-MS,24344204,Guarani V (2014)
2803,IFNGR1,JAK2,0.146,0.525,0.993,0.999,Amyotrophic Lateral Sclerosis (ALS),297120,3459,3717,109681,109920,Affinity Capture-Western,7673114,Kotenko SV (1995)
2804,JAK2,STAT5B,0.144,0.718,0.997,0.999,Amyotrophic Lateral Sclerosis (ALS),280115,3717,6777,109920,112654,Two-hybrid,9047382,Fujitani Y (1997)
2805,APOC2,APOE,0.139,0.564,0.998,0.999,Alzheimers,3127777,344,348,106841,106845,Affinity Capture-MS,33961781,Huttlin EL (2021)
2806,APH1A,NCSTN,0.137,0.999,0.999,0.999,Alzheimers,253399,51107,23385,119296,116961,Affinity Capture-Western,14572442,Baulac S (2003)
2807,VPS35,SNX5,0.137,0.127,0.989,0.999,Parkinson's,3453625,55737,27131,120855,118022,Co-fractionation,35831314,Havugimana PC (2022)
2808,JAK2,STAT5A,0.134,0.802,0.997,0.999,Amyotrophic Lateral Sclerosis (ALS),280114,3717,6776,109920,112653,Two-hybrid,9047382,Fujitani Y (1997)
2809,SQSTM1,UBC,0.133,0.994,0.48,0.999,Multiple Sclerosis,601344,8878,7316,114397,113164,Two-hybrid,21900206,Vinayagam A (2011)
2810,ITGAM,ICAM1,0.133,0.292,0.996,0.999,Amyotrophic Lateral Sclerosis (ALS),317185,3684,3383,109890,109610,Reconstituted Complex,12208882,Santoso S (2002)
2811,IL12B,IL23A,0.132,0.981,0.649,0.999,Amyotrophic Lateral Sclerosis (ALS),314469,3593,51561,109807,119611,Affinity Capture-Western,11114383,Oppmann B (2000)
2812,JAK1,STAT5B,0.132,0.472,0.985,0.999,Amyotrophic Lateral Sclerosis (ALS),280112,3716,6777,109919,112654,Two-hybrid,9047382,Fujitani Y (1997)
2813,MAP2K1,RAF1,0.131,0.974,0.97,0.999,Parkinson's,277825,5604,5894,111590,111831,Reconstituted Complex,10757792,Yeung K (2000)
2814,IL10RB,IL10RA,0.129,0.926,0.999,0.999,Amyotrophic Lateral Sclerosis (ALS),305364,3588,3587,109802,109801,Affinity Capture-Western,9312047,Kotenko SV (1997)
2815,NDUFAF3,NDUFS3,0.128,0.994,0.817,0.999,Alzheimers,1442457,25915,4722,117419,110801,Affinity Capture-MS,24344204,Guarani V (2014)
2816,IL1R1,IL1RN,0.126,0.958,0.997,0.999,Amyotrophic Lateral Sclerosis (ALS),317822,3554,3557,109770,109772,Co-crystal Structure,9062194,Schreuder H (1997)
2817,TNFRSF1B,TNFRSF1A,0.126,0.292,0.987,0.999,Amyotrophic Lateral Sclerosis (ALS),717837,7133,7132,112987,112986,Affinity Capture-Western,19287455,Wicovsky A (2009)
2818,DERL1,VCP,0.124,0.996,0.812,0.999,Multiple Sclerosis,463077,79139,7415,122559,113258,Reconstituted Complex,16289116,Schulze A (2005)
2819,CD86,CTLA4,0.124,0.971,0.999,0.999,Amyotrophic Lateral Sclerosis (ALS),1504620,942,1493,107380,107875,Co-localization,25241761,Chen TC (2014)
2820,LYRM4,ISCU,0.124,0.923,0.999,0.999,Friedreich ataxia,1524216,57128,23479,121391,117038,Affinity Capture-MS,27499296,Floyd BJ (2016)
2821,IFNGR1,STAT1,0.124,0.837,0.977,0.999,Amyotrophic Lateral Sclerosis (ALS),559052,3459,6772,109681,112649,Affinity Capture-Western,10848598,Pang Q (2000)
2822,CD80,CTLA4,0.123,0.977,0.999,0.999,Amyotrophic Lateral Sclerosis (ALS),304986,941,1493,107379,107875,Co-crystal Structure,11279502,Stamper CC (2001)
2823,TIMP1,MMP1,0.123,0.935,0.984,0.999,Amyotrophic Lateral Sclerosis (ALS),286401,7076,4312,112932,110456,Reconstituted Complex,9063449,Vallon R (1997)
2824,SNX1,SNX6,0.123,0.922,0.992,0.999,Parkinson's,741800,6642,58533,112525,121852,Co-fractionation,22939629,Havugimana PC (2012)
2825,APH1A,PSEN1,0.122,0.999,0.999,0.999,Alzheimers,253400,51107,5663,119296,111642,Affinity Capture-Western,14572442,Baulac S (2003)
2826,APH1B,PSEN1,0.121,0.995,0.997,0.999,Alzheimers,796517,83464,5663,123659,111642,Affinity Capture-Western,15474363,Hebert SS (2004)
2827,NDUFAF1,TIMMDC1,0.121,0.994,0.814,0.999,Alzheimers,1442408,51103,51300,119292,119451,Affinity Capture-MS,24344204,Guarani V (2014)
2828,BRAF,MAP2K1,0.119,0.996,0.983,0.999,Parkinson's,692094,673,5604,107141,111590,Biochemical Activity,20212043,Kilili GK (2010)
2829,RAF1,YWHAZ,0.119,0.996,0.961,0.999,Parkinson's,283101,5894,7534,111831,113366,Reconstituted Complex,7628630,Koyama S (1995)
2830,MAP1LC3B,SQSTM1,0.119,0.994,0.998,0.999,Parkinson's,271199,81631,8878,123565,114397,Two-hybrid,16169070,Stelzl U (2005)
2831,CXCL11,CXCL12,0.118,0.994,0.862,0.999,Amyotrophic Lateral Sclerosis (ALS),2862116,6373,6387,112275,112288,Reconstituted Complex,28381538,von Hundelshausen P (2017)
2832,IRAK1,MYD88,0.118,0.951,0.999,0.999,Amyotrophic Lateral Sclerosis (ALS),317384,3654,4615,109863,110700,Affinity Capture-Western,11544529,Fitzgerald KA (2001)
2833,MYD88,TLR7,0.118,0.314,0.999,0.999,Amyotrophic Lateral Sclerosis (ALS),892709,4615,51284,110700,119436,Two-hybrid,21988832,Wang J (2011)
2834,TLR4,TRAF6,0.117,0.923,0.997,0.999,Amyotrophic Lateral Sclerosis (ALS),569221,7099,7189,112954,113041,Affinity Capture-Western,21911421,Yang M (2011)
2835,NCSTN,PSEN2,0.116,0.999,0.998,0.999,Alzheimers,283020,23385,5664,116961,111643,Affinity Capture-Western,12297508,Lee SF (2002)
2836,APH1A,PSENEN,0.116,0.998,0.999,0.999,Alzheimers,253401,51107,55851,119296,120953,Affinity Capture-Western,14572442,Baulac S (2003)
2837,APH1B,NCSTN,0.116,0.995,0.999,0.999,Alzheimers,796514,83464,23385,123659,116961,Affinity Capture-Western,15474363,Hebert SS (2004)
2838,TIMP1,MMP3,0.115,0.952,0.998,0.999,Amyotrophic Lateral Sclerosis (ALS),278121,7076,4314,112932,110458,Co-crystal Structure,9288970,Gomis-Rueth FX (1997)
2839,KIF5B,KLC1,0.115,0.949,0.989,0.999,Multiple Sclerosis,277182,3799,3831,110000,110029,Reconstituted Complex,12475239,Diefenbach RJ (2002)
2840,JAK2,JAK1,0.113,0.51,0.982,0.999,Amyotrophic Lateral Sclerosis (ALS),2907240,3717,3716,109920,109919,Biochemical Activity,32001089,Shah RR (2020)
2841,APH1A,PSEN2,0.112,0.999,0.998,0.999,Alzheimers,282076,51107,5664,119296,111643,Affinity Capture-Western,12471034,Gu Y (2003)
2842,APH1B,PSEN2,0.112,0.995,0.996,0.999,Alzheimers,796518,83464,5664,123659,111643,Affinity Capture-Western,15474363,Hebert SS (2004)
2843,RIPK1,TNFRSF1A,0.111,0.994,0.997,0.999,Multiple Sclerosis,286794,8737,7132,114274,112986,Affinity Capture-Western,11002422,Kim JW (2000)
2844,CD274,PDCD1,0.111,0.983,0.999,0.999,Amyotrophic Lateral Sclerosis (ALS),858354,29126,5133,118891,111160,Reconstituted Complex,21982860,Ramani SR (2012)
2845,IKBKG,NFKBIA,0.111,0.928,0.936,0.999,Multiple Sclerosis,569277,8517,4792,114089,110859,Biochemical Activity,21896478,Stempin CC (2011)
2846,IFNAR1,JAK1,0.111,0.365,0.998,0.999,Amyotrophic Lateral Sclerosis (ALS),3140224,3454,3716,109676,109919,Affinity Capture-MS,33961781,Huttlin EL (2021)
2847,NDUFA1,NDUFS2,0.11,0.928,0.839,0.999,Alzheimers,3179692,4694,4720,110774,110800,Affinity Capture-MS,33961781,Huttlin EL (2021)
2848,PSMD4,UBC,0.109,0.997,0.407,0.999,Multiple Sclerosis,468382,5710,7316,111683,113164,Reconstituted Complex,15826667,Wang Q (2005)
2849,RIPK1,TRADD,0.107,0.994,0.998,0.999,Multiple Sclerosis,315077,8737,8717,114274,114257,Affinity Capture-Western,8612133,Hsu H (1996)
